loan_id,amount,tenure,status,start_date,dpd,person_id,name,gender,address,pan,dob
LN88613,49261,6,default,2022-06-06,87,P000001,WceglPvX,M,"""SEBdv City""",SORYY9548O,07-01-2004
LN41507,179148,36,closed,2024-09-26,40,P000002,qoXSoTWx,F,"""UCyBX City""",CKFTU3214X,16-03-1976
LN91801,370496,12,default,2024-10-16,17,P000003,JHfqkIiR,M,"""mCVTs City""",STVIB7040K,09-06-1972
LN32796,172410,12,default,2021-09-05,34,P000004,BjhqcpdT,M,"""vIgKx City""",YVCMK9473S,03-12-1996
LN33975,392574,24,closed,2021-10-03,89,P000005,XITlFISo,F,"""KJJrH City""",WMKII1787Y,08-02-1972
LN42273,477222,12,active,2022-08-01,54,P000006,clYjjoBt,F,"""OLgiX City""",SMDRM1175N,23-08-2000
LN11780,60028,12,default,2023-11-03,0,P000007,GKaIAMIf,M,"""fsioz City""",UZJYL6658I,26-02-1984
LN21396,460843,36,active,2023-08-24,64,P000008,JvIYKqrR,M,"""adGHA City""",LPRTE2482S,14-02-1992
LN13259,198477,12,default,2023-11-01,60,P000009,RozIAvTu,F,"""sRXLg City""",HSVWB9496W,11-09-1996
LN36548,425001,24,default,2021-11-17,32,P000010,xuOOEnSX,M,"""oBNkf City""",XSXVN3589B,08-11-1978
LN50921,431108,12,default,2021-01-04,43,P000011,WrvRVqkl,M,"""NfEIh City""",OUMKN5084O,15-12-1993
LN48419,468920,24,default,2020-11-24,53,P000012,KvEBEhgP,F,"""vqeJU City""",DLIAF1520M,16-01-1971
LN24598,353104,24,default,2021-07-10,8,P000013,ytIjyKXy,M,"""qndqV City""",SKYVK1501L,13-09-1997
LN44808,171905,6,default,2020-12-09,47,P000014,nvmcfvaQ,M,"""KaGFx City""",TVXXW8913L,21-03-1971
LN36172,366200,24,default,2021-07-09,61,P000015,tdATTZQi,M,"""QkawE City""",UVFAO4955J,21-02-1974
LN24223,80592,6,active,2020-07-15,82,P000016,xWsRwapN,F,"""xxOuX City""",RDKLB1172P,05-06-1996
LN45254,272955,12,closed,2021-01-22,25,P000017,TFhRXPZQ,M,"""eABWk City""",MSVBC5310K,13-02-1989
LN31901,81109,6,active,2023-12-03,45,P000018,GnAQsTGN,M,"""pxuZy City""",MMHZJ5579W,07-05-2003
LN62915,384161,6,active,2020-01-21,77,P000019,abknZioP,M,"""YVjgO City""",NMRLJ7127F,27-12-1989
LN96256,386683,24,default,2024-11-07,89,P000020,myWjHgeQ,M,"""LuRSK City""",LSTAP2455M,22-08-1992
LN33558,273104,24,active,2021-10-07,83,P000021,aROMbRSM,M,"""mHOcl City""",MOWLJ2685W,13-06-2002
